Name,mode,scale,label,kid,fid,sfid,faceid,losstype,eta
guide_mode=manifold+scale=10+target=14255+losstype=cosine+eta=0.5,manifold,10,14255,0.018865569,35.65372403,125.6682736,0.584618628,cosine,0.5
guide_mode=manifold+scale=10+target=14255+losstype=cosine+eta=1.0,manifold,10,14255,0.030341668,43.96112315,121.1811092,0.625367939,cosine,1.0
guide_mode=manifold+scale=10+target=14255+losstype=l2+eta=0.5,manifold,10,14255,0.018879706,35.6623871,125.6740077,0.584591448,l2,0.5
guide_mode=manifold+scale=10+target=14255+losstype=l2+eta=1.0,manifold,10,14255,0.030335343,43.95957519,121.1803365,0.625530541,l2,1.0
guide_mode=manifold+scale=10+target=21177+losstype=cosine+eta=0.5,manifold,10,21177,0.019003622,35.59667526,125.8877017,0.745885968,cosine,0.5
guide_mode=manifold+scale=10+target=21177+losstype=cosine+eta=1.0,manifold,10,21177,0.029603746,43.17203471,121.5354134,0.787101507,cosine,1.0
guide_mode=manifold+scale=10+target=21177+losstype=l2+eta=0.5,manifold,10,21177,0.01900202,35.59469105,125.8832514,0.74592191,l2,0.5
guide_mode=manifold+scale=10+target=21177+losstype=l2+eta=1.0,manifold,10,21177,0.029615566,43.18368786,121.5479421,0.786985815,l2,1.0
guide_mode=manifold+scale=100+target=03437+losstype=cosine+eta=0.5,manifold,100,3437,0.030573703,46.52288258,146.4586528,0.430841744,cosine,0.5
guide_mode=manifold+scale=100+target=03437+losstype=cosine+eta=1.0,manifold,100,3437,0.034135543,50.47388755,143.2382125,0.468506813,cosine,1.0
guide_mode=manifold+scale=100+target=03437+losstype=l2+eta=0.5,manifold,100,3437,0.030617001,46.61890323,146.6375006,0.432747751,l2,0.5
guide_mode=manifold+scale=100+target=03437+losstype=l2+eta=1.0,manifold,100,3437,0.034155365,50.72101635,143.1562891,0.467128068,l2,1.0
guide_mode=manifold+scale=100+target=14255+losstype=cosine+eta=0.5,manifold,100,14255,0.022559663,39.99707647,140.9557697,0.350301892,cosine,0.5
guide_mode=manifold+scale=100+target=14255+losstype=cosine+eta=1.0,manifold,100,14255,0.027506215,44.91613098,135.6378082,0.37947014,cosine,1.0
guide_mode=manifold+scale=100+target=14255+losstype=l2+eta=0.5,manifold,100,14255,0.022357978,39.91108786,141.0193113,0.349082351,l2,0.5
guide_mode=manifold+scale=100+target=14255+losstype=l2+eta=1.0,manifold,100,14255,0.027446279,44.75857099,136.0012949,0.378421277,l2,1.0
guide_mode=manifold+scale=100+target=21177+losstype=cosine+eta=0.5,manifold,100,21177,0.03940009,52.46979793,153.3037659,0.499575227,cosine,0.5
guide_mode=manifold+scale=100+target=21177+losstype=cosine+eta=1.0,manifold,100,21177,0.035899378,51.12883648,146.8066175,0.556021035,cosine,1.0
guide_mode=manifold+scale=100+target=21177+losstype=l2+eta=0.5,manifold,100,21177,0.039336868,52.42423068,153.1432337,0.500453234,l2,0.5
guide_mode=manifold+scale=100+target=21177+losstype=l2+eta=1.0,manifold,100,21177,0.035994321,51.22722379,146.8206142,0.553765893,l2,1.0
guide_mode=manifold+scale=1000+target=03437+losstype=cosine+eta=0.5,manifold,1000,3437,0.131993577,133.459386,215.1945524,0.334463686,cosine,0.5
guide_mode=manifold+scale=1000+target=03437+losstype=cosine+eta=1.0,manifold,1000,3437,0.113222651,114.8241066,219.1756252,0.362712651,cosine,1.0
guide_mode=manifold+scale=1000+target=03437+losstype=l2+eta=0.5,manifold,1000,3437,0.130641401,132.5392739,215.0518284,0.333204359,l2,0.5
guide_mode=manifold+scale=1000+target=14255+losstype=cosine+eta=0.5,manifold,1000,14255,0.075279742,92.97513865,187.8023155,0.239561602,cosine,0.5
guide_mode=manifold+scale=1000+target=14255+losstype=l2+eta=0.5,manifold,1000,14255,0.074964032,92.11998835,188.5610829,0.239349127,l2,0.5
guide_mode=manifold+scale=200+target=03437+losstype=cosine+eta=0.5,manifold,200,3437,0.046589635,60.543671,161.3748582,0.399422199,cosine,0.5
guide_mode=manifold+scale=200+target=03437+losstype=cosine+eta=1.0,manifold,200,3437,0.04951578,64.31515992,162.6869945,0.436277956,cosine,1.0
guide_mode=manifold+scale=200+target=03437+losstype=l2+eta=0.5,manifold,200,3437,0.046607122,60.7048692,161.2985379,0.398854375,l2,0.5
guide_mode=manifold+scale=200+target=03437+losstype=l2+eta=1.0,manifold,200,3437,0.050007589,64.74725594,162.6707335,0.436441869,l2,1.0
guide_mode=manifold+scale=200+target=14255+losstype=cosine+eta=0.5,manifold,200,14255,0.029873332,47.3806227,150.4628684,0.312902421,cosine,0.5
guide_mode=manifold+scale=200+target=14255+losstype=cosine+eta=1.0,manifold,200,14255,0.032240611,50.22794975,145.3419643,0.337917209,cosine,1.0
guide_mode=manifold+scale=200+target=14255+losstype=l2+eta=0.5,manifold,200,14255,0.029802514,47.22907707,150.249981,0.311999768,l2,0.5
guide_mode=manifold+scale=200+target=14255+losstype=l2+eta=1.0,manifold,200,14255,0.032458432,50.71702706,145.5226572,0.339130551,l2,1.0
guide_mode=manifold+scale=200+target=21177+losstype=cosine+eta=0.5,manifold,200,21177,0.064518891,73.16795677,172.8956017,0.445690751,cosine,0.5
guide_mode=manifold+scale=200+target=21177+losstype=cosine+eta=1.0,manifold,200,21177,0.056933153,68.64846548,168.944271,0.495283514,cosine,1.0
guide_mode=manifold+scale=200+target=21177+losstype=l2+eta=0.5,manifold,200,21177,0.064194322,72.71927902,173.0189651,0.445655733,l2,0.5
guide_mode=manifold+scale=200+target=21177+losstype=l2+eta=1.0,manifold,200,21177,0.056665726,68.2077353,169.1246896,0.496722996,l2,1.0
guide_mode=manifold+scale=50+target=03437+losstype=cosine+eta=0.5,manifold,50,3437,0.022446318,39.08339748,136.1924965,0.471758097,cosine,0.5
guide_mode=manifold+scale=50+target=03437+losstype=cosine+eta=1.0,manifold,50,3437,0.029228441,44.44518148,130.9018657,0.502622843,cosine,1.0
guide_mode=manifold+scale=50+target=03437+losstype=l2+eta=0.5,manifold,50,3437,0.022475773,39.14951665,136.2695956,0.472017288,l2,0.5
guide_mode=manifold+scale=50+target=03437+losstype=l2+eta=1.0,manifold,50,3437,0.029224865,44.3656489,130.9120412,0.502866566,l2,1.0
guide_mode=manifold+scale=50+target=14255+losstype=cosine+eta=0.5,manifold,50,14255,0.019063519,36.48152748,134.2737085,0.398317397,cosine,0.5
guide_mode=manifold+scale=50+target=14255+losstype=cosine+eta=1.0,manifold,50,14255,0.026466208,42.39188207,128.3401443,0.431185782,cosine,1.0
guide_mode=manifold+scale=50+target=14255+losstype=l2+eta=0.5,manifold,50,14255,0.019020936,36.45353153,134.2535131,0.399373323,l2,0.5
guide_mode=manifold+scale=50+target=14255+losstype=l2+eta=1.0,manifold,50,14255,0.02647494,42.48255616,128.2738834,0.430030674,l2,1.0
guide_mode=manifold+scale=50+target=21177+losstype=cosine+eta=0.5,manifold,50,21177,0.024984168,40.86507229,138.7425388,0.556573391,cosine,0.5
guide_mode=manifold+scale=50+target=21177+losstype=cosine+eta=1.0,manifold,50,21177,0.02776977,43.30780543,131.3196332,0.611466944,cosine,1.0
guide_mode=manifold+scale=50+target=21177+losstype=l2+eta=0.5,manifold,50,21177,0.025018822,40.87526913,138.7995757,0.556342483,l2,0.5
guide_mode=manifold+scale=50+target=21177+losstype=l2+eta=1.0,manifold,50,21177,0.027733361,43.31818188,131.3768539,0.611315668,l2,1.0
guide_mode=manifold+scale=500+target=03437+losstype=cosine+eta=0.5,manifold,500,3437,0.081591278,92.45589879,190.5160514,0.356197357,cosine,0.5
guide_mode=manifold+scale=500+target=03437+losstype=l2+eta=0.5,manifold,500,3437,0.082454629,92.71547798,190.8776157,0.357955515,l2,0.5
guide_mode=manifold+scale=500+target=03437+losstype=l2+eta=1.0,manifold,500,3437,0.079159617,88.78016869,195.9853736,0.392972976,l2,1.0
guide_mode=manifold+scale=500+target=14255+losstype=cosine+eta=0.5,manifold,500,14255,0.049150232,66.2118404,168.8822015,0.268492073,cosine,0.5
guide_mode=manifold+scale=500+target=14255+losstype=l2+eta=0.5,manifold,500,14255,0.049205005,66.75015914,168.9380276,0.268029481,l2,0.5
guide_mode=manifold+scale=500+target=21177+losstype=cosine+eta=0.5,manifold,500,21177,0.11558494,115.4383312,203.6898619,0.391254753,cosine,0.5
guide_mode=manifold+scale=500+target=21177+losstype=l2+eta=0.5,manifold,500,21177,0.114827767,114.9522401,203.498073,0.392459869,l2,0.5
